,sentiment
0,neutral
1,neutral
2,positive
3,neutral
4,neutral
5,positive
6,positive
7,positive
8,positive
9,neutral
10,positive
11,positive
12,neutral
13,neutral
14,positive
15,neutral
16,neutral
17,positive
18,positive
19,neutral
20,neutral
21,positive
22,neutral
23,neutral
24,neutral
25,neutral
26,positive
27,positive
28,positive
29,neutral
30,positive
31,neutral
32,neutral
33,neutral
34,neutral
35,neutral
36,neutral
37,positive
38,positive
39,positive
40,neutral
41,positive
42,positive
43,positive
44,neutral
45,neutral
46,neutral
47,neutral
48,neutral
49,neutral
50,positive
51,neutral
52,neutral
53,positive
54,neutral
55,neutral
56,neutral
57,positive
58,positive
59,neutral
60,positive
61,neutral
62,positive
63,positive
64,positive
65,neutral
66,positive
67,positive
68,neutral
69,neutral
70,positive
71,neutral
72,positive
73,neutral
74,positive
75,neutral
76,positive
77,neutral
78,neutral
79,neutral
80,positive
81,neutral
82,positive
83,positive
84,negative
85,positive
86,positive
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,neutral
95,positive
96,positive
97,neutral
98,positive
99,positive
100,positive
101,neutral
102,positive
103,negative
104,neutral
105,neutral
106,positive
107,positive
108,neutral
109,neutral
110,positive
111,positive
112,neutral
113,neutral
114,neutral
115,positive
116,neutral
117,neutral
118,neutral
119,positive
120,neutral
121,positive
122,neutral
123,neutral
124,neutral
125,neutral
126,neutral
127,positive
128,positive
129,positive
130,positive
131,neutral
132,positive
133,neutral
134,positive
135,positive
136,neutral
137,positive
138,neutral
139,neutral
140,neutral
141,neutral
142,positive
143,negative
144,neutral
145,positive
146,neutral
147,neutral
148,neutral
149,positive
150,positive
151,neutral
152,neutral
153,positive
154,positive
155,neutral
156,neutral
157,neutral
158,neutral
159,neutral
160,neutral
161,positive
162,neutral
163,positive
164,neutral
165,neutral
166,positive
167,positive
168,neutral
169,neutral
170,neutral
171,neutral
172,neutral
173,neutral
174,neutral
175,neutral
176,neutral
177,neutral
178,neutral
179,positive
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,positive
188,positive
189,positive
190,negative
191,neutral
192,positive
193,positive
194,neutral
195,neutral
196,positive
197,positive
198,neutral
199,neutral
200,positive
201,positive
202,positive
203,neutral
204,neutral
205,neutral
206,positive
207,neutral
208,neutral
209,positive
210,positive
211,neutral
212,neutral
213,positive
214,positive
215,positive
216,neutral
217,positive
218,neutral
219,neutral
220,positive
221,positive
222,positive
223,positive
224,positive
225,neutral
226,neutral
227,neutral
228,positive
229,neutral
230,positive
231,positive
232,positive
233,positive
234,positive
235,neutral
236,neutral
237,neutral
238,positive
239,neutral
240,neutral
241,positive
242,neutral
243,positive
244,neutral
245,neutral
246,positive
247,positive
248,positive
249,positive
250,positive
251,neutral
252,positive
253,positive
254,neutral
255,positive
256,neutral
257,neutral
258,positive
259,positive
260,positive
261,neutral
262,positive
263,positive
264,positive
265,neutral
266,neutral
267,positive
268,positive
269,positive
270,positive
271,neutral
272,neutral
273,positive
274,neutral
275,neutral
276,neutral
277,neutral
278,positive
279,neutral
280,positive
281,positive
282,neutral
283,neutral
284,neutral
285,positive
286,neutral
287,neutral
288,positive
289,neutral
290,neutral
291,positive
292,positive
293,positive
294,positive
295,neutral
296,neutral
297,neutral
298,neutral
299,neutral
300,neutral
301,neutral
302,positive
303,neutral
304,neutral
305,neutral
306,positive
307,positive
308,neutral
309,neutral
310,positive
311,neutral
312,positive
313,neutral
314,positive
315,positive
316,positive
317,neutral
318,neutral
319,positive
320,neutral
321,positive
322,neutral
323,positive
324,neutral
325,neutral
326,positive
327,positive
328,positive
329,positive
330,neutral
331,positive
332,neutral
333,positive
334,positive
335,positive
336,positive
337,positive
338,positive
339,positive
340,neutral
341,neutral
342,neutral
343,positive
344,positive
345,positive
346,positive
347,neutral
348,positive
349,positive
350,positive
351,neutral
352,positive
353,neutral
354,neutral
355,neutral
356,neutral
357,neutral
358,positive
359,positive
360,positive
361,neutral
362,neutral
363,positive
364,positive
365,positive
366,neutral
367,neutral
368,neutral
369,positive
370,positive
371,positive
372,neutral
373,positive
374,neutral
375,neutral
376,positive
377,positive
378,neutral
379,positive
380,neutral
381,positive
382,positive
383,neutral
384,neutral
385,positive
386,neutral
387,positive
388,neutral
389,positive
390,positive
391,neutral
392,neutral
393,positive
394,positive
395,neutral
396,neutral
397,positive
398,positive
399,positive
400,neutral
401,positive
402,neutral
403,neutral
404,positive
405,neutral
406,neutral
407,neutral
408,neutral
409,neutral
410,neutral
411,positive
412,positive
413,neutral
414,neutral
415,neutral
416,positive
417,neutral
418,positive
419,positive
420,positive
421,positive
422,positive
423,positive
424,positive
425,positive
426,neutral
427,neutral
428,negative
429,positive
430,positive
431,positive
432,neutral
433,neutral
434,neutral
435,positive
436,positive
437,neutral
438,positive
439,neutral
440,neutral
441,neutral
442,positive
443,neutral
444,positive
445,neutral
446,positive
447,neutral
448,neutral
449,neutral
450,neutral
451,neutral
452,positive
453,neutral
454,negative
455,positive
456,positive
457,neutral
458,neutral
459,positive
460,neutral
461,neutral
462,positive
463,neutral
464,neutral
465,positive
466,positive
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,neutral
473,positive
474,positive
475,positive
476,neutral
477,neutral
478,positive
479,neutral
480,neutral
481,neutral
482,positive
483,neutral
484,positive
485,negative
486,neutral
487,positive
488,neutral
489,neutral
490,neutral
491,neutral
492,positive
493,positive
494,neutral
495,neutral
496,neutral
497,neutral
498,negative
499,negative
500,neutral
